x,y
80.28,164.56
69.01,142.02
65.03,134.06
67.99,139.98
69.19,142.38
70.95,145.9
85.59,175.18
77,158
85.78,175.56
68.71,141.42
85.94,175.88
1.07,6.14
80.35,164.7
59.32,122.64
41.52,87.04
83.3,170.6
51.2,106.4
98.3,200.6
49.63,103.26
76.88,157.76
11.66,27.32
48.21,100.42
67.3,138.6
79.32,162.64
13.19,30.38
63.57,131.14
25.92,55.84
25.76,55.52
79.82,163.64
93.45,190.9
68.52,141.04
14.66,33.32
19.19,42.38
43.97,91.94
67.39,138.78
32.96,69.92
79.64,163.28
20.82,45.64
78.93,161.86
79.46,162.92
78.66,161.32
27.41,58.82
35.16,74.32
21.16,46.32
1.38,6.76
11.99,27.98
35.23,74.46
26.81,57.62
31.16,66.32
67.5,139
13.64,31.28
27.28,58.56
94.73,193.46
4.59,13.18
57.04,118.08
9.54,23.08
47.3,98.6
90.47,184.94
24.92,53.84
44.77,93.54
65.31,134.62
73,150
19.4,42.8
30.47,64.94
38.12,80.24
66.74,137.48
82.66,169.32
44.74,93.48
7.88,19.76
89.46,182.92
38.29,80.58
32.63,69.26
49.53,103.06
56.86,117.72
61.86,127.72
83.01,170.02
0.74,5.48
27.17,58.34
48.8,101.6
85.78,175.56
49.1,102.2
42.05,88.1
59.22,122.44
84.52,173.04
94.14,192.28
3.42,10.84
64.2,132.4
88.91,181.82
97.96,199.92
67.57,139.14
33.98,71.96
11.17,26.34
72.41,148.82
30.18,64.36
43.88,91.76
34.3,72.6
49.94,103.88
43.47,90.94
6.49,16.98
81.52,167.04
71.99,147.98
72.18,148.36
65.5,135
15.1,34.2
22.46,48.92
80.9,165.8
6.66,17.32
6.43,16.86
83.51,171.02
49.11,102.22
84.66,173.32
68.27,140.54
11.71,27.42
7.26,18.52
40.22,84.44
72.77,149.54
61.07,126.14
48.65,101.3
31.2,66.4
25.29,54.58
1.21,6.42
69.19,142.38
65.2,134.4
47.14,98.28
31.65,67.3
78.42,160.84
41.91,87.82
17.51,39.02
13.79,31.58
42.32,88.64
19.87,43.74
97.57,199.14
24.38,52.76
54.04,112.08
39.9,83.8
7.49,18.98
90.82,185.64
77.87,159.74
68.17,140.34
51.3,106.6
8.74,21.48
9.64,23.28
3.22,10.44
26,56
83.48,170.96
36.4,76.8
37.33,78.66
56.8,117.6
28.63,61.26
90.13,184.26
46.72,97.44
10.29,24.58
81.18,166.36
75.67,155.34
13.22,30.44
49.96,103.92
8.07,20.14
66.63,137.26
74.09,152.18
21.77,47.54
74.76,153.52
20.43,44.86
1.51,7.02
59.53,123.06
72.85,149.7
28.95,61.9
2.17,8.34
43.72,91.44
83.72,171.44
75.56,155.12
92.61,189.22
19.47,42.94
89.96,183.92
58.97,121.94
26.75,57.5
82.49,168.98
83.33,170.66
50.04,104.08
73.81,151.62
63.82,131.64
58.9,121.8
45.76,95.52
81.8,167.6
12.25,28.5
18.33,40.66
1.3,6.6
76.86,157.72
26.93,57.86
22.01,48.02
32.34,68.68
14.19,32.38
85.42,174.84
93.13,190.26
94.56,193.12
47.32,98.64
2.68,9.36
78.04,160.08
84.2,172.4
69.61,143.22
23.34,50.68
47.55,99.1
21.36,46.72
85.53,175.06
63.6,131.2
59.2,122.4
75.25,154.5
69.17,142.34
22.48,48.96
93.08,190.16
70.54,145.08
54.46,112.92
42.4,88.8
55.91,115.82
22.07,48.14
14.92,33.84
65.44,134.88
51.27,106.54
55.2,114.4
61.44,126.88
28.79,61.58
70.29,144.58
80.78,165.56
85.38,174.76
28.14,60.28
57.52,119.04
43.17,90.34
75.18,154.36
90.06,184.12
5.73,15.46
34.05,72.1
85.44,174.88
78.4,160.8
78.7,161.4
8.97,21.94
85.49,174.98
47.27,98.54
84.56,173.12
60.14,124.28
13.38,30.76
65.96,135.92
9.51,23.02
57.81,119.62
5.79,15.58
22.88,49.76
78.29,160.58
80.99,165.98
42.48,88.96
82.29,168.58
58.18,120.36
45.57,95.14
45.1,94.2
1.94,7.88
47.22,98.44
4.1,12.2
59.8,123.6
88.87,181.74
19.69,43.38
11.26,26.52
45.71,95.42
62.19,128.38
4.92,13.84
95.86,195.72
2.95,9.9
6.52,17.04
95.19,194.38
58.06,120.12
18.25,40.5
88.97,181.94
74.29,152.58
45.35,94.7
28.77,61.54
3.23,10.46
87.07,178.14
74.46,152.92
43.2,90.4
6.74,17.48
65.54,135.08
18.34,40.68
84.72,173.44
76.86,157.72
27.51,59.02
38.79,81.58
62.76,129.52
17.1,38.2
22.21,48.42
95.38,194.76
71.23,146.46
1.79,7.58
46.8,97.6
91.1,186.2
62.36,128.72
78.11,160.22
9.47,22.94
97.68,199.36
94.95,193.9
32.57,69.14
30.7,65.4
54.81,113.62
80.46,164.92
82.46,168.92
7.26,18.52
21.66,47.32
50.34,104.68
42.88,89.76
66.92,137.84
86.64,177.28
28.22,60.44
89.67,183.34
85.99,175.98
20.92,45.84
85.54,175.08
97.81,199.62
41.86,87.72
55.16,114.32
89.14,182.28
22.96,49.92
57.88,119.76
73.37,150.74
84.61,173.22
21.49,46.98
95.2,194.4
70.71,145.42
54.28,112.56
24.63,53.26
81.83,167.66
34.57,73.14
1.69,7.38
63.84,131.68
77.02,158.04
31.68,67.36
83.63,171.26
67.91,139.82
30.67,65.34
99.61,203.22
15.06,34.12
28.75,61.5
53.93,111.86
22.74,49.48
66.05,136.1
57.8,119.6
54.86,113.72
88.48,180.96
75.22,154.44
45.33,94.66
25.71,55.42
42.45,88.9
32.52,69.04
89.59,183.18
70.63,145.26
6.57,17.14
86.29,176.58
53.44,110.88
77.1,158.2
47.57,99.14
52.99,109.98
54.5,113
3.51,11.02
86.79,177.58
21.74,47.48
25.33,54.66
24.7,53.4
36.02,76.04
85.28,174.56
43.88,91.76
79.29,162.58
64.9,133.8
20.79,45.58
72.54,149.08
25.88,55.76
89.59,183.18
12.41,28.82
10.71,25.42
82.63,169.26
32.23,68.46
63.96,131.92
29.95,63.9
81.21,166.42
79.1,162.2
45.01,94.02
82.38,168.76
97.18,198.36
61.42,126.84
86.93,177.86
23.03,50.06
96.88,197.76
85.88,175.76
9.15,22.3
79.36,162.72
18.04,40.08
9.12,22.24
24.9,53.8
55.09,114.18
12.01,28.02
93.45,190.9
35.18,74.36
24.44,52.88
3.3,10.6
48.19,100.38
34.5,73
35.29,74.58
25.2,54.4
98.14,200.28
5.07,14.14
25.14,54.28
67.5,139
86.36,176.72
2.57,9.14
17.57,39.14
58.95,121.9
61.06,126.12
87.21,178.42
3.62,11.24
86.3,176.6
79.48,162.96
29.48,62.96
52.59,109.18
53.91,111.82
60.03,124.06
18.42,40.84
95.68,195.36
37.11,78.22
3.26,10.52
80,164
12.23,28.46
14.62,33.24
54.47,112.94
69.8,143.6
22.12,48.24
49.2,102.4
97.87,199.74
30.74,65.48
11.6,27.2
32.87,69.74
71.73,147.46
59.98,123.96
26.85,57.7
83.28,170.56
79.55,163.1
33.22,70.44
59.39,122.78
74.86,153.72
23.5,51
61.82,127.64
0.98,5.96
43.67,91.34
81.21,166.42
45.24,94.48
49.42,102.84
19.08,42.16
64.88,133.76
70.59,145.18
14.01,32.02
77.86,159.72
74.96,153.92
69.74,143.48
66.11,136.22
40.78,85.56
72.16,148.32
2.23,8.46
67.85,139.7
4,12
13.25,30.5
81.61,167.22
91.34,186.68
20.46,44.92
44.08,92.16
94.59,193.18
95.54,195.08
37.61,79.22
30.42,64.84
75.35,154.7
82.63,169.26
50.6,105.2
76.45,156.9
60.79,125.58
64.53,133.06
58.09,120.18
86.12,176.24
82.93,169.86
25.1,54.2
36.66,77.32
