x,y
80.28,83.28
69.01,72.01
65.03,68.03
67.99,70.99
69.19,72.19
70.95,73.95
85.59,88.59
77,80
85.78,88.78
68.71,71.71
85.94,88.94
1.07,4.07
80.35,83.35
59.32,62.32
41.52,44.52
83.3,86.3
51.2,54.2
98.3,101.3
49.63,52.63
76.88,79.88
11.66,14.66
48.21,51.21
67.3,70.3
79.32,82.32
13.19,16.19
63.57,66.57
25.92,28.92
25.76,28.76
79.82,82.82
93.45,96.45
68.52,71.52
14.66,17.66
19.19,22.19
43.97,46.97
67.39,70.39
32.96,35.96
79.64,82.64
20.82,23.82
78.93,81.93
79.46,82.46
78.66,81.66
27.41,30.41
35.16,38.16
21.16,24.16
1.38,4.38
11.99,14.99
35.23,38.23
26.81,29.81
31.16,34.16
67.5,70.5
13.64,16.64
27.28,30.28
94.73,97.73
4.59,7.59
57.04,60.04
9.54,12.54
47.3,50.3
90.47,93.47
24.92,27.92
44.77,47.77
65.31,68.31
73,76
19.4,22.4
30.47,33.47
38.12,41.12
66.74,69.74
82.66,85.66
44.74,47.74
7.88,10.88
89.46,92.46
38.29,41.29
32.63,35.63
49.53,52.53
56.86,59.86
61.86,64.86
83.01,86.01
0.74,3.74
27.17,30.17
48.8,51.8
85.78,88.78
49.1,52.1
42.05,45.05
59.22,62.22
84.52,87.52
94.14,97.14
3.42,6.42
64.2,67.2
88.91,91.91
97.96,100.96
67.57,70.57
33.98,36.98
11.17,14.17
72.41,75.41
30.18,33.18
43.88,46.88
34.3,37.3
49.94,52.94
43.47,46.47
6.49,9.49
81.52,84.52
71.99,74.99
72.18,75.18
65.5,68.5
15.1,18.1
22.46,25.46
80.9,83.9
6.66,9.66
6.43,9.43
83.51,86.51
49.11,52.11
84.66,87.66
68.27,71.27
11.71,14.71
7.26,10.26
40.22,43.22
72.77,75.77
61.07,64.07
48.65,51.65
31.2,34.2
25.29,28.29
1.21,4.21
69.19,72.19
65.2,68.2
47.14,50.14
31.65,34.65
78.42,81.42
41.91,44.91
17.51,20.51
13.79,16.79
42.32,45.32
19.87,22.87
97.57,100.57
24.38,27.38
54.04,57.04
39.9,42.9
7.49,10.49
90.82,93.82
77.87,80.87
68.17,71.17
51.3,54.3
8.74,11.74
9.64,12.64
3.22,6.22
26,29
83.48,86.48
36.4,39.4
37.33,40.33
56.8,59.8
28.63,31.63
90.13,93.13
46.72,49.72
10.29,13.29
81.18,84.18
75.67,78.67
13.22,16.22
49.96,52.96
8.07,11.07
66.63,69.63
74.09,77.09
